ID,Name
13.02.08,BukitSundi
13.02.09,IXKoto Sungai Lasi
13.02.10,Kubung
13.02.11,XKoto Singkarak
13.02.12,XKoto Diatas
13.02.13,JunjungSirih
13.02.17,HiliranGumanti
13.02.18,TigoLurah
13.02.19,DanauKembar
13.03.03,TanjungGadang
13.03.04,Sijunjung
13.03.05,IVNagari
13.03.06,KamangBaru
13.03.07,LubuakTarok
13.03.08,KotoVII
13.03.09,SumpurKudus
13.03.10,Kupitan
13.04.01,XKoto
13.04.02,Batipuh
13.04.03,Rambatan
13.04.04,LimaKaum
13.04.05,TanjungEmas
13.04.06,LintauBuo
13.04.07,Sungayang
13.04.08,SungaiTarab
13.04.09,Pariangan
13.04.10,Salimpauang
13.04.11,PadangGanting
13.04.12,TanjuangBaru
13.04.13,LintauBuo Utara
13.04.14,BatipuahSelatan
13.05.01,LubukAlung
13.05.02,BatangAnai
13.05.03,NanSabaris
13.05.04,2x 11 Enam Lingkuang
13.05.05,VIIKoto Sungai Sarik
13.05.06,VKoto Kampung Dalam
13.05.07,SungaiGaringging
13.05.08,SungaiLimau
13.05.09,IVKoto Aur Malintang
13.05.10,UlakanTapakih
13.05.11,SintuakToboh Gadang
13.05.12,PadangSago
13.05.13,BatangGasan
13.05.14,VKoto Timur
13.05.15,2x 11 Kayu Tanam
13.05.16,Patamuan
13.05.17,EnamLingkung
13.06.01,TanjungMutiara
13.06.02,LubukBasung
13.06.03,TanjungRaya
13.06.04,Matur
13.06.05,IVKoto
13.06.06,Banuhampu
13.06.07,AmpekAngkek
13.06.08,Baso
13.06.09,TilatangKamang
13.06.10,Palupuh
13.06.11,Pelembayan
13.06.12,SungaiPua
13.06.13,AmpekNagari
13.06.14,Candung
13.06.15,KamangMagek
13.06.16,Malalak
13.07.01,Suliki
13.07.02,Guguak
13.07.03,Payakumbuh
13.07.04,Luak
13.07.05,Harau
13.07.06,PangkalanKoto Baru
13.07.07,KapurIX
13.07.08,GunuangOmeh
13.07.09,LarehSago Halaban
13.07.10,SitujuahLimo Nagari
13.07.11,Mungka
13.07.12,BukikBarisan
13.07.13,Akabiluru
13.08.04,Bonjol
13.08.05,LubukSikaping
13.08.07,Panti
13.08.08,MapatTunggul
13.08.12,DuoKoto
13.08.13,TigoNagari
13.08.14,Rao
13.08.15,MapatTunggul Selatan
13.08.16,SimpangAlahan Mati
13.08.17,PadangGelugur
13.08.18,RaoUtara
13.08.19,RaoSelatan
13.09.01,PagaiUtara
13.09.02,SiporaSelatan
13.09.03,SiberutSelatan
13.09.04,SiberutUtara
13.09.05,SiberutBarat
13.09.06,SiberutBarat Daya
13.09.07,SiberutTengah
13.09.08,SiporaUtara
13.09.09,Sikakap
13.09.10,PagaiSelatan
13.10.01,KotoBaru
13.10.02,PulauPunjung
13.10.03,SungaiRumbai
13.10.04,Sitiung
13.10.05,SembilanKoto
13.10.06,Timpeh
13.10.07,KotoSalak
13.10.08,Tiumang
13.10.09,PadangLaweh
13.10.10,AsamJujuhan
13.10.11,KotoBesar
13.11.01,Sangir
13.11.02,SungaiPagu
13.11.03,KotoParik Gadang Diateh
13.11.04,SangirJujuan
13.11.05,SangirBatang Hari
13.11.06,PauhDuo
13.11.07,SangirBalai Janggo
13.12.01,Sungaiberemas
13.12.02,LembahMelintang
13.12.03,Pasaman
13.12.04,Talamau
13.12.05,Kinali
13.12.06,Gunungtuleh
13.12.07,RanahBatahan
13.12.08,KotoBalingka
13.12.09,Sungaiaur
13.12.10,LuhakNan Duo
13.12.11,SasakRanah Pesisir
13.71.01,PadangSelatan
13.71.02,PadangTimur
13.71.03,PadangBarat
13.71.04,PadangUtara
13.71.05,BungusTeluk Kabung
13.71.06,LubukBegalung
13.71.07,LubukKilangan
13.71.08,Pauh
13.71.09,Kuranji
13.71.10,Nanggalo
13.71.11,KotoTangah
13.72.01,LubukSikarah
13.72.02,TanjungHarapan
13.73.01,LembahSegar
13.73.02,Barangin
13.73.03,Silungkang
13.73.04,Talawi
13.74.01,PadangPanjang Timur
13.74.02,PadangPanjang Barat
13.75.01,GuguakPanjang
13.75.02,MandianginK. Selayan
13.75.03,AurBirugo Tigo Baleh
13.76.01,PayakumbuhBarat
13.76.02,PayakumbuhUtara
13.76.03,PayakumbuhTimur
13.76.04,LamposiTigo Nagori
13.76.05,PayakumbuhSelatan
13.77.01,PariamanTengah
13.77.02,PariamanUtara
13.77.03,PariamanSelatan
13.77.04,PariamanTimur
14.01.01,BangkinangKota
14.01.02,Kampar
14.01.03,Tambang
14.01.04,XIIIKoto Kampar
14.01.05,Kuok
14.01.06,SiakHulu
14.01.07,KamparKiri
14.01.08,KamparKiri Hilir
14.01.09,KamparKiri Hulu
14.01.10,Tapung
14.01.11,TapungHilir
14.01.12,TapungHulu
14.01.13,Salo
14.01.14,RumbioJaya
14.01.15,Bangkinang
14.01.16,PerhentianRaja
14.01.17,Kampa
14.01.18,KamparUtara
14.01.19,KamparKiri Tengah
14.01.20,GunungSahilan
14.01.21,KotoKampar Hulu
14.02.01,Rengat
14.02.02,RengatBarat
14.02.03,Kelayang
14.02.04,PasirPenyu
14.02.05,Peranap
14.02.06,Siberida
14.02.07,BatangCenaku
14.02.08,BatangGangsal
14.02.09,Lirik
14.02.10,KualaCenaku
14.02.11,SungaiLala
14.02.12,LubukBatu Jaya
14.02.13,RakitKulim
14.02.14,BatangPeranap
14.03.01,Bengkalis
14.03.02,Bantan
14.03.03,BukitBatu
14.03.09,Mandau
14.03.10,Rupat
14.03.11,RupatUtara
14.03.12,SiakKecil
14.03.13,Pinggir
14.03.14,BandarLaksamana
14.03.15,TalangMuandau
14.03.16,BathinSolapan
14.04.01,Reteh
14.04.02,Enok
14.04.03,KualaIndragiri
14.04.04,Tembilahan
14.04.05,Tempuling
14.04.06,GaungAnak Serka
14.04.07,Mandah
14.04.08,Kateman
14.04.09,Keritang
14.04.10,TanahMerah
14.04.11,BatangTuaka
14.04.12,Gaung
14.04.13,TembilahanHulu
14.04.14,Kemuning
14.04.15,Pelangiran
14.04.16,TelukBelengkong
14.04.17,PulauBurung
14.04.18,Concong
14.04.19,Kempas
14.04.20,SungaiBatang
14.05.01,Ukui
14.05.02,PangkalanKerinci
14.05.03,PangkalanKuras
14.05.04,PangkalanLesung
14.05.05,Langgam
14.05.06,Pelalawan
14.05.07,Kerumutan
14.05.08,Bunut
14.05.09,TelukMeranti
14.05.10,KualaKampar
14.05.11,BandarSei Kijang
14.05.12,BandarPetalangan
14.06.01,UjungBatu
14.06.02,RokanIV Koto
14.06.03,Rambah
14.06.04,Tambusai
14.06.05,Kepenuhan
14.06.06,KuntoDarussalam
14.06.07,RambahSamo
14.06.08,RambahHilir
14.06.09,TambusaiUtara
14.06.10,BangunPurba
14.06.11,Tandun
14.06.12,Kabun
14.06.13,BonaiDarussalam
14.06.14,PagaranTapah Darussalam
14.06.15,KepenuhanHulu
14.06.16,PendalianIV Koto
14.07.01,Kubu
14.07.02,Bangko
14.07.03,TanahPutih
